tag,school_name,main_phone,mobile_whatsapp,website,target_role,decision_maker_name,public_business_contact,linkedin,call_priority,source
Driving School,Al Rayah Driving School,+974 44877774,,https://alrayahdrivingschool.qa/,Chairman / General Manager,H.E. Mohammed Bin Ahmed Bin Twar Al Kuwari,careers@rds.qa,https://www.linkedin.com/company/alrayah-driving-school/,A,MOI + official website + LinkedIn
Driving School,Gulf Driving School,+974 44652822,+974 5018 2894,https://www.gdsqatar.com.qa/,General Manager / Operations Manager,,contactus@gdsqatar.com.qa,https://www.linkedin.com/company/gulf-driving-school-qatar/,A,MOI + LinkedIn
Driving School,Doha Driving Academy,+974 44792263,,http://www.dohadrivingacademy.com/,General Manager,Abdullatif Hashim AM Alsada,hr@dohadrivingacademy.com,https://www.linkedin.com/company/doha-driving-academy/,A,MOI + D&B + LinkedIn
Driving School,Qatar Modern Driving School,+974 44803717,,https://www.qatar-driving.com/,General Manager / Operations Manager,,info@qatar-driving.com,,A,MOI + Al Mana Holding
Driving School,United Driving School,+974 44681003,+974 7000 3192,https://udqatar.com/,General Manager / Operations Manager,,info@udqatar.com,https://udqatar.com/,A,MOI + official website
Driving School,Al Khebra Driving School,+974 44516353,+974 7039 6840,https://alkhebradriving.com/,Operations / Fleet / Administrative Manager,Karim Hegazy,info@alkhebradriving.com,https://www.linkedin.com/in/karim-hegazy-00b839a7/,A,MOI + official website + LinkedIn
Driving School,Al Hasba Driving School,+974 44867426,+974 3131 5080,,General Manager / Operations Manager,,,,B,MOI
Driving School,Karwa Driving School,+974 44588888,+974 6092 812,https://www.mowasalat.com/,Fleet / Operations / Technology Manager,,,https://www.linkedin.com/company/mowasalat-qatar/,A,MOI + Mowasalat
Driving School,Dalla Driving School,+974 44227222,+974 7079 9910,https://www.dalladrivingacademy.com/,General Manager / Operations / Fleet Manager,,,https://www.linkedin.com/company/dallah-driving-academy/,A,MOI + official website + LinkedIn
Arabic & International School,Arab International Academy (AIA),+974 4041 4999,,https://doha.aia.qa/,General Manager / Operations / Transport / IT,,info@aia.qa,,A,Official school website
Arabic & International School,Al Jazeera Academy,+974 4469 3777,+974 5527 0807,https://aja.edu.qa/,Principal / Operations / Transport / IT,Nada Mabrouk,+974 4032 9607; nmabrouk@aja.edu.qa,https://www.linkedin.com/company/aljazeeraqcademyqa/,A,Official school website + LinkedIn
Arabic & International School,Etqan Global Academy,+974 3355 0041 / +974 4477 1527,+974 5129 0020,https://www.ega.qa/,Principal / Operations / Transport / IT,,info@ega.qa,https://www.linkedin.com/company/etqan-global-academy/,A,Official school website + LinkedIn
Arabic & International School,Qatar Academy Msheireb,+974 4454 2116,,https://qam.qa/,Principal / Operations / Transport / IT,,qamsheireb@qf.org.qa,https://www.linkedin.com/company/qatar-academy-msheireb/,A,Qatar Foundation + official school website
Arabic & International School,Al Maha Academy for Boys,+974 4428 0777,+974 4444 8888,https://amab.com.qa/,Principal / Operations / Transport / IT,Shuja Uddin,almaha.boys@education.qa,https://www.linkedin.com/company/taallum-group/,A,Official school website + Ta'allum Group
Arabic & International School,Al Maha Academy for Girls,+974 4428 0777,,https://amag.com.qa/,Principal / Operations / Transport / IT,,infog@amag.com.qa; sara.houjairi@amag.com.qa,https://www.linkedin.com/company/taallum-group/,A,Official school website + Ta'allum Group
Arabic & International School,Doha Academy - Al Waab,+974 4020 2700,,https://dohaacademy.sch.qa/,Principal / Operations / Transport / IT,,info@dohaacademy.net,https://www.linkedin.com/company/doha-academy-qatar/,A,Official school website
Arabic & International School,Doha Academy - Salwa,+974 4450 9917,,https://dohaacademy.sch.qa/,Principal / Operations / Transport / IT,,info@dohaacademy.net,https://www.linkedin.com/company/doha-academy-qatar/,A,Official school website
Arabic & International School,Noor Al Khaleej International School,+974 4466 6110,,https://nooralkhaleej.com/,Principal / Operations / Transport / IT,,office@nooralkhaleej.com,https://www.linkedin.com/company/noor-al-khaleej-international-school/,A,Official school website
Arabic & International School,Pearling Season International School,+974 4032 2408 / 2407,+974 5992 5853,https://www.psisd.sch.qa/,Principal / Operations / Transport / IT,,info@psisd.sch.qa,https://www.linkedin.com/company/pearling-season-international-school/,A,Official school website
Arabic & International School,Qatar Academy Doha,+974 4454 2000,,https://qad.edu.qa/,Principal / Operations / Transport / IT,,qataracademy@qf.org.qa,https://www.linkedin.com/company/qatar-academy-doha/,A,Qatar Foundation + official school website
Arabic & International School,Doha College,+974 4407 6777,,https://www.dohacollege.com/,Principal / Operations / Transport / IT,,enquiries@dohacollege.com,https://www.linkedin.com/company/doha-college/,A,Official school website
